,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed
320,setermoen,68.86,18.35,24.01,85.0,0.0,8.05
321,erenhot,43.65,111.98,68.2,25.0,100.0,8.84
322,broome,42.25,-75.83,44.01,44.0,0.0,3.89
323,lazaro cardenas,17.96,-102.2,79.52,72.0,0.0,5.14
324,kupang,-10.17,123.58,86.0,62.0,20.0,19.46
325,nyurba,63.28,118.33,37.58,75.0,93.0,6.38
326,iquitos,-3.75,-73.25,80.6,88.0,0.0,2.24
327,shingu,33.73,135.98,69.8,32.0,0.0,6.93
328,srandakan,-7.94,110.25,81.18,77.0,100.0,15.7
329,yar-sale,66.83,70.83,37.94,90.0,48.0,18.57
330,yagodnoye,62.55,149.67,36.55,89.0,98.0,3.18
331,sarab,38.61,44.99,56.19,71.0,0.0,1.97
332,vestmanna,62.16,-7.17,37.4,88.0,79.0,2.24
333,korla,41.76,86.15,73.15,25.0,100.0,9.66
334,bystrogorskiy,48.21,41.14,42.39,76.0,61.0,3.02
335,tazovskiy,67.47,78.7,30.43,93.0,0.0,9.89
336,panaba,21.28,-88.27,79.83,78.0,0.0,7.23
337,bilma,18.69,12.92,79.39,15.0,0.0,2.86
339,slave lake,55.28,-114.77,59.0,37.0,1.0,4.7
340,surgut,61.25,73.42,57.2,76.0,100.0,13.42
342,talara,-4.58,-81.27,70.68,83.0,47.0,14.99
343,palana,59.12,159.97,34.7,87.0,0.0,8.03
344,kamaishi,39.27,141.88,60.8,44.0,40.0,12.75
345,hami,42.8,93.45,75.63,19.0,100.0,5.68
346,tupik,54.43,119.93,37.11,81.0,100.0,2.62
347,ekhabi,53.51,142.97,33.66,95.0,100.0,13.56
348,dana point,33.47,-117.7,69.01,74.0,0.0,4.0
349,sangar,63.92,127.47,42.17,84.0,99.0,8.39
350,sibu,2.3,111.82,80.6,83.0,75.0,5.82
351,longkou,37.65,120.33,67.75,47.0,100.0,18.28
352,ancud,-41.87,-73.82,53.01,100.0,90.0,12.75
353,quatre cocos,-20.21,57.76,73.99,78.0,40.0,8.05
354,druskininkai,54.02,23.97,33.93,91.0,100.0,3.71
356,chapais,49.78,-74.85,42.8,24.0,1.0,5.82
357,bairiki,1.33,172.98,87.8,70.0,40.0,12.75
358,ouango,4.31,22.56,70.39,86.0,15.0,1.86
359,azad shahr,34.79,48.57,50.9,47.0,0.0,1.39
360,avera,33.19,-82.53,73.4,53.0,1.0,5.82
363,pisco,-13.7,-76.22,66.2,82.0,49.0,16.11
364,batemans bay,-35.72,150.18,59.0,75.0,1.0,1.99
365,bandarbeyla,9.49,50.81,82.27,84.0,86.0,15.95
366,mehamn,71.04,27.85,34.83,85.0,100.0,5.59
367,torrington,41.8,-73.12,48.99,45.0,0.0,5.57
368,port huron,42.97,-82.42,48.2,52.0,1.0,8.05
369,coquimbo,-29.95,-71.34,53.6,87.0,0.0,2.24
370,taloqan,36.74,69.53,58.57,82.0,100.0,3.65
371,lardos,36.09,28.02,69.8,64.0,0.0,8.05
372,santa cruz de tenerife,28.47,-16.25,60.01,82.0,90.0,24.16
373,noyabrsk,63.2,75.45,47.21,65.0,100.0,18.05
374,fuxin,42.02,121.66,82.06,18.0,100.0,21.16
375,acarau,-2.89,-40.12,78.62,87.0,19.0,8.25
376,robertsport,6.75,-11.37,81.41,83.0,49.0,7.23
377,phek,25.67,94.5,62.04,78.0,0.0,1.77
378,hermosillo,29.07,-110.97,93.0,18.0,0.0,10.0
379,zhangjiakou,40.81,114.88,73.0,26.0,91.0,4.81
380,cidreira,-30.18,-50.21,63.19,82.0,83.0,12.15
381,walvis bay,-22.96,14.51,53.6,76.0,0.0,2.24
382,lubbock,33.6,-101.83,73.99,68.0,90.0,5.82
383,jumla,29.27,82.18,54.54,60.0,3.0,2.19
384,poum,-20.23,164.02,73.58,61.0,0.0,13.31
385,half moon bay,37.46,-122.43,66.99,68.0,75.0,11.41
386,acapulco,16.86,-99.89,84.2,74.0,75.0,6.93
387,klaksvik,62.23,-6.59,37.4,78.0,95.0,2.24
388,burnie,-41.07,145.92,55.99,58.0,11.0,4.0
389,leningradskiy,69.38,178.42,31.15,98.0,96.0,6.4
390,almenara,-16.18,-40.69,68.94,88.0,1.0,1.43
392,itoman,26.12,127.67,78.8,69.0,75.0,13.87
393,chuy,-33.7,-53.46,51.08,85.0,0.0,8.08
394,makakilo city,21.35,-158.09,82.4,69.0,90.0,10.29
395,gat,31.61,34.76,77.0,82.0,100.0,2.55
396,isangel,-19.55,169.27,75.56,56.0,0.0,8.01
398,labuhan,-6.88,112.21,81.64,79.0,82.0,4.27
399,fukue,32.69,128.84,68.0,45.0,83.0,6.93
400,fereydun kenar,36.69,52.52,64.4,82.0,75.0,11.41
401,kidal,18.44,1.41,83.57,28.0,0.0,3.06
402,sorong,-0.88,131.25,84.76,70.0,0.0,4.07
403,dali,25.7,100.18,64.35,53.0,8.0,6.31
405,husavik,66.04,-17.34,44.6,92.0,90.0,25.28
406,saint george,37.1,-113.58,80.6,19.0,1.0,11.41
407,dezful,32.38,48.41,77.56,18.0,0.0,2.15
408,namibe,-15.2,12.15,75.56,55.0,0.0,5.66
409,gayeri,12.65,0.49,92.55,34.0,0.0,3.51
410,eyrarbakki,63.86,-21.15,44.6,93.0,90.0,16.11
411,qaqortoq,60.72,-46.03,42.8,81.0,100.0,8.05
412,dingle,11.0,122.67,88.29,61.0,100.0,7.4
413,molchanovo,57.58,83.77,49.64,69.0,100.0,11.72
414,sokoni,-6.43,39.55,78.8,94.0,20.0,12.1
415,marzuq,14.4,46.47,78.24,33.0,4.0,4.47
416,sorland,67.67,12.69,35.47,81.0,100.0,6.71
417,suntar,62.14,117.63,39.49,69.0,86.0,7.09
418,borogontsy,62.67,131.17,44.47,76.0,100.0,10.33
419,mkushi,-13.62,29.39,56.98,67.0,0.0,2.68
420,ostrovnoy,68.05,39.51,36.75,96.0,100.0,8.12
421,lata,40.16,-8.33,54.0,97.0,100.0,2.8
422,kununurra,-15.77,128.73,80.6,15.0,10.0,12.75
423,ixtapa,20.7,-105.2,80.6,78.0,20.0,12.75
424,cabo san lucas,22.89,-109.91,86.0,25.0,5.0,8.05
425,cururupu,-1.83,-44.87,75.29,93.0,100.0,2.42
426,hibbing,47.43,-92.94,50.0,49.0,90.0,13.87
427,kavaratti,10.57,72.64,85.62,72.0,97.0,6.15
428,shelburne,44.08,-80.2,46.4,42.0,1.0,6.93
429,batticaloa,7.71,81.69,80.74,84.0,38.0,5.01
431,bontang,0.13,117.5,82.08,85.0,0.0,3.22
432,syasstroy,60.14,32.57,38.57,88.0,100.0,4.61
433,jurm,36.86,70.83,59.02,58.0,100.0,3.38
434,beloha,-25.17,45.05,63.19,95.0,11.0,4.61
435,haines junction,60.75,-137.51,54.0,63.0,100.0,3.4
436,payo,-3.75,103.64,79.81,84.0,26.0,1.25
437,kazanskoye,55.64,69.23,64.22,75.0,0.0,7.09
438,urucui,-7.23,-44.56,76.46,84.0,0.0,4.05
439,ulaanbaatar,47.91,106.88,50.0,46.0,0.0,2.24
440,abomsa,9.98,39.98,73.33,37.0,0.0,6.17
441,thunder bay,48.4,-89.32,46.0,52.0,90.0,11.41
442,turukhansk,65.82,87.98,39.25,71.0,0.0,7.54
443,belyy yar,53.6,91.39,66.2,55.0,96.0,11.18
